"sub"	"race"	"Condition"	"TrialType"	"CueType"	"ProbeType"	"mapping"	"rt"	"acc"	"C"	"A"
41	"white"	"WhiteHisp"	"HispGun"	"hispanic"	"weapon"	"RightGun"	444.30985915493	0.929577464788732	0.874782944240787	0.437596302003079
41	"white"	"WhiteHisp"	"WhiteGun"	"white"	"weapon"	"RightGun"	456.932432432432	0.932432432432432	0.861003861003861	0.513888888888886
42	"white"	"WhiteHisp"	"HispGun"	"hispanic"	"weapon"	"LeftGun"	406.055555555556	0.805555555555556	0.541666666666667	0.575757575757576
42	"white"	"WhiteHisp"	"WhiteGun"	"white"	"weapon"	"LeftGun"	423.5	0.902777777777778	0.569444444444445	0.774193548387097
43	"white"	"neutHisp"	"HispGun"	"hispanic"	"weapon"	"RightGun"	340.739726027397	0.821917808219178	0.315068493150685	0.74
43	"white"	"neutHisp"	"NeutGun"	"abstract"	"weapon"	"RightGun"	328.068493150685	0.465753424657534	0.335318642048838	0.196236559139785
46	"white"	"BlackHisp"	"BlackGun"	"black"	"weapon"	"LeftGun"	338.743243243243	0.702702702702703	0.280167491435097	0.586991010047594
46	"white"	"BlackHisp"	"HispGun"	"hispanic"	"weapon"	"LeftGun"	337.808219178082	0.602739726027397	0.331311154598826	0.405911618378694
47	"white"	"WhiteHisp"	"HispGun"	"hispanic"	"weapon"	"RightGun"	401.414285714286	0.814285714285714	0.675396825396825	0.427872860635696
47	"white"	"WhiteHisp"	"WhiteGun"	"white"	"weapon"	"RightGun"	393.608108108108	0.810810810810811	0.671921921921922	0.423340961098399
48	"white"	"WhiteHisp"	"HispGun"	"hispanic"	"weapon"	"LeftGun"	373.112676056338	0.802816901408451	0.386150234741784	0.678776290630976
48	"white"	"WhiteHisp"	"WhiteGun"	"white"	"weapon"	"LeftGun"	379.986301369863	0.808219178082192	0.377663622526636	0.691837358605932
49	"white"	"neutHisp"	"HispGun"	"hispanic"	"weapon"	"RightGun"	347.263888888889	0.722222222222222	0.257433489827856	0.625922023182297
